Media_Online,Seed_URL,URL_Word,Parent_Page,Anchor_Text,Surrounding_Text,Class
detik,https://travel.detik.com/domestic-destination/d-4547725/10-tempat-wisata-di-geopark-ciletuh-surga-tersembunyi-di-sukabumi,0.75,0.79,0.84,0,1
detik,https://news.detik.com/berita-jawa-barat/d-4623621/mobil-masuk-jurang-di-jalan-geopark-ciletuh-sopir-tewas,0.66,0.76,0.26,0,1
detik,https://travel.detik.com/dtravelers_photos/u-4396105/kau-memang-cantik-geopark-ciletuh?_ga=2.228640468.954688674.1582443345-236416681.1571536150,0.66,0.82,0.35,0,1
inews,https://www.inews.id/travel/destinasi/wisata-pelabuhanratu-sambil-jelajahi-hutan-di-kawasan-geopark-ciletuh,0.81,0.9,0.66,0.87,1
inews,https://www.inews.id/travel/destinasi/jelajahi-geopark-ciletuh-yang-mendunia-ada-taman-purba-dan-alluvial,0.72,0.9,0.66,0.79,1
inews,https://www.inews.id/travel/destinasi/potensi-geopark-indonesia-dipromosikan-di-markas-unesco-paris,0.53,0.79,0.53,0.83,1
inews,https://www.inews.id/travel/destinasi/sail-to-natuna-promosikan-kawasan-wisata-geopark-nasional,0.69,0.75,0.58,0.68,1
inews,https://www.inews.id/news/nasional/geopark-indonesia-inews-raih-penghargaan-kpid-dki-jakarta-awards-2019,0.58,0.58,0.53,0.78,0
inews,https://www.inews.id/travel/destinasi/geopark-indonesia-juara-1-anugerah-pewarta-wisata-indonesia-2019,0.58,0.69,0.53,0.78,1
inews,https://www.inews.id/travel/destinasi/menelusuri-keindahan-alam-dan-adat-warga-sijunjung,0.27,0.66,0.53,0.78,0
inews,https://www.inews.id/travel/destinasi/mengenal-kabuenga-tradisi-masyarakat-wakatobi-mencari-jodoh,0,0.75,0.53,0.78,1
inews,https://www.inews.id/travel/destinasi/wisata-ke-sulawesi-utara-pasar-ekstrem-di-tomohon-jadi-daya-tarik-turis,0.22,0.69,0.53,0.78,0
inews,https://www.inews.id/travel/destinasi/ujung-kulon-diajukan-ke-unesco-menjadi-geopark-dunia,0.53,0.88,0.22,0.68,1
jpnn,https://www.jpnn.com/news/geopark-ciletuh-palabuhanratu-sepi-pengunjung-ini-penyebabnya,0.72,0.85,0.76,0.89,1
jpnn,https://www.jpnn.com/news/sentral-geopark-ciletuh-pemkab-sukabumi-geser-kantor-pemerintahan-ke-palabuhanratu,0.76,0.37,0.79,0.89,0
jpnn,https://www.jpnn.com/news/bocah-6-tahun-tenggelam-di-sungai-geopark-ciletuh,0.66,0.85,0.72,0.85,1
jpnn,https://www.jpnn.com/kemenkumham/news/bea-cukai-bogor-lirik-potensi-kabupaten-sukabumi,0.26,0.97,0.26,0.6,1
kompas,https://regional.kompas.com/read/2019/07/06/11554471/rp-126-miliar-untuk-bangun-amfiteater-geopark-ciletuh-palabuhanratu,0.72,0.92,0.76,0,1
kompas,https://regional.kompas.com/read/2019/06/25/17212361/paus-terdampar-di-kawasan-geopark-ciletuh-berjenis-hidung-botol-masuk-satwa,0.73,0.82,0.76,0,1
kompas,https://regional.kompas.com/read/2019/06/24/20533261/heboh-paus-terdampar-di-geopark-ciletuh-tubuh-penuh-luka-hingga-jadi,0.66,0.87,0.76,0,1
kompas,https://regional.kompas.com/read/2019/04/10/16382261/pemprov-jabar-akan-bentuk-unit-khusus-urus-geopark-ciletuh,0.66,0.77,0.71,0,1
kompas,https://travel.kompas.com/read/2019/03/29/140800227/dari-sukabumi-sampai-flores-5-destinasi-di-indonesia-untuk-road-trip-,0.26,0.87,0.66,0,1
