No,Tahun,Media_Online,Seed_URL,URL_Word,Parent_Page,Anchor_Text,Surrounding_Text,Class
621,2018,tribunnews,https://www.tribunnews.com/kilas-kementerian/2018/10/14/rekor-dunia-tercipta-di-pembukaan-festival-geopark-ciletuh-2018,0.76,0.92,0.76,0.76,1
622,2019,tribunnews,https://www.tribunnews.com/bisnis/2019/03/26/inisiasi-antam-kembangkan-taman-buah-nusantara-di-bogor,0.16,0.66,0.16,0.16,0
623,2019,tribunnews,https://www.tribunnews.com/nasional/2019/07/31/jokowi-dorong-geopark-kaldera-toba-diakui-unesco,0.54,0.84,0.54,0.9,1
624,2019,tribunnews,https://www.tribunnews.com/kilas-kementerian/2019/05/07/cara-pemerintah-persiapkan-geopark-nasional-sawahlunto-jadi-unesco-global-geopark,0.54,0.57,0.51,0.51,0
625,2019,tribunnews,https://bali.tribunnews.com/2019/11/29/status-batur-global-geopark-terancam-dicabut-unesco-hasil-riset-peneliti-ungkap-alasannya,0.54,0.54,0.54,0.6,0
626,2019,tribunnews,https://banjarmasin.tribunnews.com/2019/10/31/menuju-ugg-begini-peluang-pegunungan-meratus-menurut-president-jaringan-geopark-indonesia,0.54,0.84,0.54,0.57,1
627,2019,tribunnews,https://jogja.tribunnews.com/2019/09/08/geopark-gunung-sewu-berhasil-pertahankan-status-dari-unesco,0.54,0.54,0.16,0.59,0
628,2019,tribunnews,https://www.tribunnews.com/kilas-kementerian/2019/06/26/menuju-geopark-dunia-asesor-unesco-kunjungi-belitung?page=2,0.54,0.55,0.16,0.59,0
629,2019,tribunnews,https://www.tribunnews.com/kilas-kementerian/2019/07/07/menpar-arief-yahya-unesco-tetapkan-sawahlunto-jadi-situs-warisan-dunia?page=all,0.16,0.93,0.0,0.2,1
630,2019,tribunnews,https://travel.tribunnews.com/2019/07/09/7-taman-nasional-di-indonesia-yang-masuk-situs-warisan-unesco,0.22,0.22,0.16,0.33,0
631,2019,tribunnews,https://www.tribunnews.com/travel/2019/04/23/badan-pengelola-geopark-pongkor-dikukuhkan-ade-yasin-untuk-branding-the-city-of-sport-and-tourism,0.51,0.62,0.0,0.25,0
632,2019,tribunnews,https://bali.tribunnews.com/2019/11/15/dukung-pengembangan-geopark-banyuwangi-kemenparekraf-susun-master-plan-bareng-pemkab?page=3,0.51,0.54,0.0,0.35,0
633,2019,tribunnews,https://madura.tribunnews.com/2019/02/22/diusulkan-menjadi-geopark-dunia-di-2020-banyuwangi-genjot-persiapan-di-berbagai-unsur-penting,0.51,0.62,0.55,0.55,0
634,2017,tribunnews,https://www.tribunnews.com/regional/2017/08/28/geopark-ciletuh-akan-gunakan-media-sosial-agar-viral,0.76,0.96,0.89,0.98,1
635,2017,tribunnews,https://www.tribunnews.com/travel/2017/10/16/menpar-ingin-geopark-ciletuh-jadi-destinasi-wisata-dunia,0.78,0.84,0.76,0.92,1
636,2020,tribunnews,https://www.tribunnews.com/regional/2020/02/14/jamkrindo-perkenalkan-gaya-hidup-hijau-di-geopark-ciletuh?page=2,0.76,0.94,0.0,0.0,1
637,2018,tribunnews,https://www.tribunnews.com/travel/2018/04/05/festival-hari-nelayan-palabuanratu-ke-58-angkat-ekonomi-masyarakat-dan-geopark-ciletuh,0.82,0.98,0.84,0.99,1
638,2018,tribunnews,https://www.tribunnews.com/regional/2018/04/16/geopark-ciletuh-palabahunratu-resmi-sandang-unesco-global-geopark,0.77,0.96,0.54,0.86,1
639,2017,tribunnews,https://www.tribunnews.com/travel/2017/04/26/wisatawan-keluhkan-jalanan-rusak-menuju-geopark-ciletuh-sukabumi,0.85,0.99,0.39,0.56,1
640,2018,tribunnews,https://www.tribunnews.com/regional/2018/04/16/geopark-ciletuh-palabahunratu-resmi-sandang-unesco-global-geopark?page=all,0.77,1.0,0.54,0.86,1
